id1,id2,pairs,5/30/15,7/24/15,8/1/15,8/22/15,8/30/15,9/13/15,9/19/15,9/26/15,10/7/15,10/10/15,10/17/15,10/31/15,11/15/15,11/22/15,11/26/15,12/3/15,12/12/15,12/25/15,12/27/15,1/1/16,1/30/16,2/13/16,2/20/16,2/27/16,3/12/16,3/18/16,3/22/16,3/26/16,3/27/16,4/2/16,4/9/16,4/16/16,4/23/16,5/7/16,5/15/16,5/20/16,5/23/16,6/19/16,7/2/16,7/9/16,7/16/16,8/6/16,8/13/16,8/25/16,8/27/16,9/3/16,9/7/16,9/18/16,9/24/16,10/1/16,10/5/16,10/22/16,10/23/16,10/29/16,10/30/16,11/5/16,11/12/16,11/19/16,11/25/16,12/3/16,12/6/16,12/8/16,12/15/16,12/16/16,12/18/16,1/29/17,2/5/17,2/15/17,2/19/17,2/22/17,2/26/17,2/26.1/2017,3/1/17,3/6/17,3/8/17,3/9/17,3/11/17,3/18/17,3/22/17,3/26/17,3/28/17,3/29/17,3/31/17,4/1/17,4/2/17,4/5/17,4/6/17,4/8/17,4/15/17,4/22/17,4/23/17,4/29/17,5/3/17,5/5/17,5/6/17,5/11/17,5/13/17,5/15/17,5/16/17,5/20/17,5/24/17,5/27/17,5/27.1/2017,5/31/17,6/5/17,6/9/17,6/21/17,6/24/17,7/14/17,7/15/17,7/17/17,7/18/17,7/20/17,7/25/17,7/26/17,7/29/17,8/1/17,8/4/17,8/5/17,8/8/17,8/9/17,8/10/17,8/11/17,8/13/17,8/13.1/2017,8/14/17,8/16/17,8/17/17,8/19/17,8/20/17,8/21/17,8/21.1/2017,8/27/17,8/28/17,8/30/17,9/1/17,9/2/17,9/4/17,9/6/17,9/9/17,9/13/17,9/16/17,9/18/17,9/18.1/2017,9/23/17,9/25/17,9/27/17,9/30/17,10/1/17,10/2/17,10/7/17,10/8/17,10/9/17,10/11/17,10/14/17,10/14.1/2017,10/15/17,10/16/17,10/18/17,10/21/17,10/21.1/2017,10/23/17,10/25/17,10/28/17,10/29/17,10/30/17,11/1/17,11/4/17,11/6/17,11/8/17,11/12/17,11/13/17,11/15/17,11/19/17,11/19.1/2017,11/20/17,11/24/17,11/27/17,12/2/17,12/3/17,12/3.1/2017,12/4/17,12/9/17,12/10/17,12/11/17,12/17/17,12/19/17,12/21/17,12/23/17,12/24/17,12/26/17,2/3/18,3/3/18,3/10/18,3/11/18,3/17/18,3/24/18,3/31/18,4/7/18,4/14/18,4/21/18,4/28/18,5/5/18,5/12/18,5/18/18,5/19/18,5/26/18,6/3/18,6/9/18,6/25/18,6/29/18,7/1/18,7/10/18,7/11/18,7/12/18,7/19/18,7/21/18,7/22/18,7/23/18,7/28/18,7/29/18,7/31/18,8/2/18,8/4/18,8/11/18,8/22/18,8/24/18,8/25/18,8/27/18,8/29/18,8/30/18,8/30.1/2018,9/4/18,9/6/18,9/9/18,9/11/18,9/12/18,9/16/18,9/19/18,9/20/18,9/22/18,9/23/18,9/25/18,9/27/18,9/29/18,9/30/18,10/9/18,10/11/18,10/13/18,10/16/18,10/17/18,10/18/18,10/20/18,10/20.1/2018,10/23/18,10/25/18,10/30/18,11/1/18,11/3/18,11/6/18,11/8/18,11/10/18,11/11/18,11/17/18,11/20/18,11/23/18,12/1/18,12/4/18,12/8/18,12/9/18,12/11/18,12/13/18,12/16/18,12/19/18,12/22/18,12/27/18,12/29/18,1/12/19,1/13/19,1/16/19,1/19/19,2/2/19,2/9/19,2/9.1/2019,2/16/19,2/16.1/2019,2/17/19,2/19/19,2/23/19,2/24/19,2/26/19,3/2/19,3/3/19,3/5/19,3/15/19,3/17/19,3/21/19,3/23/19,3/26/19,3/31/19,4/6/19,4/19/19,4/20/19,4/27/19,5/25/19,7/18/19,7/28/19,8/1/19,8/5/19,8/7/19,8/8/19,8/11/19,8/13/19,8/15/19,8/17/19,8/20/19,8/24/19,8/24.1/2019,8/26/19,8/29/19,8/31/19,9/2/19,9/4/19,9/9/19,9/12/19,9/14/19,9/15/19,9/19/19,9/23/19,9/28/19,10/5/19,10/10/19,10/12/19,10/17/19,10/20/19,10/26/19,10/31/19,11/2/19,11/3/19,11/7/19,11/9/19,11/16/19,11/17/19,11/23/19,11/25/19,11/29/19,12/15/19,12/21/19,12/28/19,1/1/20,1/5/20,1/11/20,1/12/20,1/16/20,1/19/20,1/25/20,2/1/20,2/6/20,2/9/20,2/15/20,2/16/20,2/23/20,2/25/20,2/29/20,3/3/20,3/7/20,3/8/20,3/12/20,3/15/20,3/21/20,3/22/20,3/28/20,3/29/20,4/4/20,4/8/20
02_NET214,90_NET214,290,,,,,,,,,,,,,,,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,1,1,1,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_NET214,AK_NET217,02AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_NET214,AU_NET115,02AU,,,,,,,,,,,1,1,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,,,1,1,,,1,,,,,1,,,,,,,1,,1,,1,,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_NET214,CS_NET115,02CS,,,,,1,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_NET214,DE_FSAN18,02DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_NET214,ED_FSAN18,02ED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_NET214,FK_NET116,02FK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,,1,1,,,1,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_NET214,FP_NET215,02FP,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,,1,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_NET214,GJ_NET116,02GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,,,,,,1,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02_NET214,GS_NET115,02GS,,,,,1,,,,,,1,1,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
